"Folder","n_variables","s_size","p_sparse","VAFx","Dataset","n_components","Loss","VAF","Recovery_Rate","MSE_W","MSE_P","W_Corr","P_Corr","Iterations"
"../Scripts/DATA-R-P-Sparse",1000,500,0,0.8,6,2,0.199011189820429,0.800988810179259,0.9995,2.75216442851909,2.75216381996998,0.999475354111844,0.999475353985919,9
"../Scripts/DATA-R-P-Sparse",1000,500,0,1,24,2,2.06482578731048e-10,0.999999999793037,0.9995,2.77297036390301,2.77297036390316,0.999996895472148,0.999996895470696,102
"../Scripts/DATA-R-P-Sparse",1000,500,0.5,0.8,12,2,0.198998768643373,0.801001243949234,1,2.52359815990078,2.52359816221806,0.999727027467179,0.999727003640355,32
"../Scripts/DATA-R-P-Sparse",1000,500,0.5,1,30,2,2.66176754909467e-05,0.999973382621106,1,2.52552228438051,2.52552228435512,0.999979740227532,0.999979740336267,39
"../Scripts/DATA-R-P-Sparse",1000,500,0.8,0.8,18,2,0.199497544184205,0.80050270855776,1,1.84988761214967,1.84988760272369,0.999838956521992,0.999838979085695,23
"../Scripts/DATA-R-P-Sparse",1000,500,0.8,1,36,2,0.000493757499355848,0.999506270067832,1,1.81826276395261,1.81826276300323,0.99983688322212,0.999836886862373,33
"../Scripts/DATA-R-W-Sparse",10,100,0,0.8,1,2,0.147923471500003,0.852076512900934,0.95,0.000484699339788808,0.000484881706211239,0.997435482670321,0.997434453943092,102
"../Scripts/DATA-R-W-Sparse",10,100,0,1,19,2,4.46339791981534e-06,0.999995435018183,0.95,0.000947616870236252,0.000947671997025589,0.99524470109889,0.995244287205447,102
"../Scripts/DATA-R-W-Sparse",10,100,0.5,0.8,7,2,0.160688788850426,0.839312157923904,1,0.000634104530562446,0.000634057979826679,0.997033602667025,0.997033444275562,26
"../Scripts/DATA-R-W-Sparse",10,100,0.5,1,25,2,0.00511424508840757,0.994886159039395,1,0.000726995805890535,0.000726965363717009,0.996492576354576,0.996492602037006,34
"../Scripts/DATA-R-W-Sparse",10,100,0.8,0.8,13,2,0.157183916712562,0.841771321668114,1,6.53189339732245e-05,0.000121823569321589,0.999727172809209,0.999552321758508,102
"../Scripts/DATA-R-W-Sparse",10,100,0.8,1,31,2,1.21612880153951e-31,1,1,1.04770588974666e-32,1.04770598925776e-32,1,1,102
"../Scripts/DATA-R-W-Sparse",10,500,0,0.8,4,2,0.157566251574961,0.842433724291555,0.95,0.0035171090283246,0.00351739693829328,0.982651874599513,0.982650169436382,102
"../Scripts/DATA-R-W-Sparse",10,500,0,1,22,2,-4.51617246148066e-20,1,0.95,0.00133541350560527,0.00133541351148966,0.992986147578738,0.992986147551044,102
"../Scripts/DATA-R-W-Sparse",10,500,0.5,0.8,10,2,0.176090902532885,0.823911830403028,0.9,0.0046967417583545,0.0046963629904184,0.975688953510279,0.975691465377023,22
"../Scripts/DATA-R-W-Sparse",10,500,0.5,1,28,2,1.57564708372962e-05,0.999984244614884,1,1.85212982319069e-06,1.85222739964478e-06,0.999990824814585,0.999990824246855,32
"../Scripts/DATA-R-W-Sparse",10,500,0.8,0.8,16,2,0.164233778744291,0.835767013049158,1,1.64220262884278e-06,1.64222913995188e-06,0.999993407250158,0.99999340538889,15
"../Scripts/DATA-R-W-Sparse",10,500,0.8,1,34,2,0.0225260249814049,0.977475089202813,1,0.00115321544400094,0.00115364120654374,0.995379809834214,0.995377464059927,24
"../Scripts/DATA-R-W-Sparse",100,100,0,0.8,2,2,0.192525360790728,0.807474639593924,0.995,0.00031167619329268,0.000311680084826921,0.984248501835128,0.984248428187788,10
"../Scripts/DATA-R-W-Sparse",100,100,0,1,20,2,5.95517738081524e-08,0.99999994028165,0.995,7.51093204539882e-10,7.52739015479857e-10,0.999999962293739,0.999999962211151,102
"../Scripts/DATA-R-W-Sparse",100,100,0.5,0.8,8,2,0.195383423586298,0.804616709597637,1,2.32567297617635e-05,2.32569825522473e-05,0.998859926526578,0.998859995762739,20
"../Scripts/DATA-R-W-Sparse",100,100,0.5,1,26,2,5.54816962045088e-05,0.999944521548387,1,8.08544717159326e-07,8.0855084011561e-07,0.999959212014702,0.999959211617271,33
"../Scripts/DATA-R-W-Sparse",100,100,0.8,0.8,14,2,0.19808640301195,0.801914070269723,1,1.19193598036238e-05,1.19164399786945e-05,0.999424355890096,0.999424474440818,26
"../Scripts/DATA-R-W-Sparse",100,100,0.8,1,32,2,0.00177547825555844,0.998224655519344,1,1.46233220747366e-05,1.46231495217574e-05,0.999280402745175,0.999280409433947,39
"../Scripts/DATA-R-W-Sparse",100,500,0,0.8,5,2,0.195548120974477,0.804451879528045,0.995,3.98979386683449e-05,3.98981654176338e-05,0.998015284280145,0.998015293220552,10
"../Scripts/DATA-R-W-Sparse",100,500,0,1,23,2,1.20417865414557e-08,0.999999987719943,0.995,5.35017798856504e-08,5.35082904787263e-08,0.999997324104348,0.999997323772497,102
"../Scripts/DATA-R-W-Sparse",100,500,0.5,0.8,11,2,0.195065036701149,0.804934926074151,1,5.80883373094511e-06,5.80719855291738e-06,0.999715792894813,0.999715879442352,34
"../Scripts/DATA-R-W-Sparse",100,500,0.5,1,29,2,0.0541504205196569,0.949948897946702,0.68,0.0052858229398157,0.00524019390853455,0.736100526156227,0.737946854395789,102
"../Scripts/DATA-R-W-Sparse",100,500,0.8,0.8,17,2,0.195078488980236,0.804921551237339,1,1.75522897702725e-06,1.75492506783059e-06,0.999913470872902,0.999913482162869,25
"../Scripts/DATA-R-W-Sparse",100,500,0.8,1,35,2,0.00315117061319152,0.99684911223247,1,2.59444971711161e-05,2.59426637378879e-05,0.99870299306793,0.998703081557137,36
"../Scripts/DATA-R-W-Sparse",1000,100,0,0.8,3,2,0.195390414530185,0.804609585466538,0.9995,1.51119347623844e-05,1.51120281605597e-05,0.992446503144647,0.992446502370086,9
