"Folder","n_variables","s_size","p_sparse","VAFx","Dataset","n_components","Loss","VAF","Recovery_Rate","MSE_W","MSE_P","W_Corr","P_Corr","Iterations"
"../Scripts/DATA-R-W-Sparse",10,500,0.8,1,34,2,0.00809318833600782,0.997182864527496,1,0.00139102475659325,0.00170081794974914,0.994006386577432,0.991325313137456,40
"../Scripts/DATA-R-W-Sparse",100,100,0,0.8,2,2,0.192525356785956,0.807474644865709,0.995,0.000311694387975711,0.000311687097804078,0.984247758289533,0.984248003242864,12
"../Scripts/DATA-R-W-Sparse",100,100,0,1,20,2,2.10433906230537e-08,0.999999993111782,0.995,9.11235564430543e-10,3.59037798549687e-10,0.999999954514977,0.999999982083574,102
"../Scripts/DATA-R-W-Sparse",100,100,0.5,0.8,8,2,0.194183009823153,0.806278756145161,1,2.33805622534019e-05,3.23895722401593e-05,0.998854874436858,0.998401794837727,44
"../Scripts/DATA-R-W-Sparse",100,100,0.5,1,26,2,1.83928250460929e-05,0.999993902071644,1,8.15722833195142e-07,7.80104108729073e-07,0.999958826949151,0.999960848175496,61
"../Scripts/DATA-R-W-Sparse",100,100,0.8,0.8,14,2,0.318417788168465,0.74784152061494,0.83,0.0067307850434131,0.00412657625094522,0.719632570431202,0.819112405874939,72
"../Scripts/DATA-R-W-Sparse",100,100,0.8,1,32,2,0.116640442896011,0.950430318526881,0.84,0.00728876692248491,0.00510695177645634,0.691430843264116,0.771022882494428,61
"../Scripts/DATA-R-W-Sparse",100,500,0,0.8,5,2,0.195548134717901,0.804451894917751,0.995,3.99238584175739e-05,3.99021937799464e-05,0.99801435806461,0.998015297492363,12
"../Scripts/DATA-R-W-Sparse",100,500,0,1,23,2,7.83138113628196e-09,0.999999997404852,0.995,3.21275688336288e-08,3.18173579313572e-08,0.999998392852776,0.999998408839288,102
"../Scripts/DATA-R-W-Sparse",100,500,0.5,0.8,11,2,0.210902086830797,0.798851583868163,0.79,0.00154142799925129,0.00111369730200303,0.926503861765171,0.945458696177406,73
"../Scripts/DATA-R-W-Sparse",100,500,0.5,1,29,2,0.0330626488065861,0.988206665284902,0.69,0.00571626774261368,0.00506785786777755,0.721919077695778,0.750380785880754,45
"../Scripts/DATA-R-W-Sparse",100,500,0.8,0.8,17,2,0.294674863324305,0.760037386849036,0.84,0.00491311062333517,0.00265098915065342,0.793656160178268,0.882483338019317,62
"../Scripts/DATA-R-W-Sparse",100,500,0.8,1,35,2,0.106148144231702,0.956556971337985,0.84,0.0066221585090449,0.00450748026965424,0.699823030444196,0.791533442275417,57
"../Scripts/DATA-R-W-Sparse",1000,100,0,0.8,3,2,0.195390414787402,0.804609585222226,0.9995,1.5111639311887e-05,1.51116593190776e-05,0.992446680749543,0.992446671206817,11
"../Scripts/DATA-R-W-Sparse",1000,100,0,1,21,2,3.25761167212885e-10,0.999999999890124,0.9995,7.11814860481281e-09,7.11730006528765e-09,0.999996440995361,0.999996441370598,102
"../Scripts/DATA-R-W-Sparse",1000,100,0.5,0.8,9,2,0.195306719478341,0.805133739933865,1,2.54104857884669e-06,3.41984720470395e-06,0.998727549877219,0.998287416822139,44
"../Scripts/DATA-R-W-Sparse",1000,100,0.5,1,27,2,0.0291503736205174,0.989880640797119,0.693,0.000425119019345541,0.000362183250091904,0.79668913452803,0.822508972148727,60
"../Scripts/DATA-R-W-Sparse",1000,100,0.8,0.8,15,2,0.197285492991437,0.803449237777821,1,1.05827188359121e-06,2.50398024653972e-06,0.999471521607811,0.998747888778262,57
"../Scripts/DATA-R-W-Sparse",1000,100,0.8,1,33,2,0.11166059028331,0.95621668242115,0.827,0.000681793024578176,0.000460334445284645,0.70147088299066,0.788429497368623,70
"../Scripts/DATA-R-W-Sparse",1000,500,0,0.8,6,2,0.198759816574702,0.801240183440459,0.9995,7.87592266395347e-06,7.87592206953316e-06,0.996062152940054,0.996062153283808,11
"../Scripts/DATA-R-W-Sparse",1000,500,0,1,24,2,8.0255696693321e-12,0.999999999997312,0.9995,8.40826170302783e-09,8.40811356293103e-09,0.99999579586385,0.999995795941623,102
"../Scripts/DATA-R-W-Sparse",1000,500,0.5,0.8,12,2,0.22501705250351,0.790724511770476,0.722,0.000315780314196529,0.000253822922157724,0.848449126754941,0.875306228229826,88
"../Scripts/DATA-R-W-Sparse",1000,500,0.5,1,30,2,1.92740201620781e-06,0.999999357088061,1,8.76535358462942e-09,8.30667505369066e-09,0.9999956162054,0.99999584545862,94
"../Scripts/DATA-R-W-Sparse",1000,500,0.8,0.8,18,2,0.318475919615783,0.745408729292514,0.817,0.000851979306468122,0.000631703940160162,0.622227454754086,0.709708649543987,44
"../Scripts/DATA-R-W-Sparse",1000,500,0.8,1,36,2,3.26574970411832e-05,0.999989106093462,1,5.34640755214688e-08,6.7457219569742e-08,0.999973259875423,0.99996626987489,53
